Year,P_up,NDVI_up,P_down,NDVI_down,P_cst,NDVI_cst
2019,-12.7241538958171,0.490465955668687,-12.4721904523355,0.490465955668822,-12.5981721740763,0.49046595566875
2020,-12.8513954347752,0.490465955669101,-12.3474685478122,0.490465955669507,-12.5981721740763,0.490465955669283
2021,-12.979909389123,0.490465955669465,-12.2239938623341,0.490465955670282,-12.5981721740763,0.490465955669816
2022,-13.1097084830142,0.490465955669784,-12.1017539237107,0.490465955671157,-12.5981721740763,0.490465955670349
2023,-13.2408055678444,0.490465955670065,-11.9807363844736,0.490465955672146,-12.5981721740763,0.490465955670882
2024,-13.3732136235228,0.49046595567031,-11.8609290206289,0.49046595567326,-12.5981721740763,0.490465955671415
2025,-13.506945759758,0.490465955670525,-11.7423197304226,0.490465955674515,-12.5981721740763,0.490465955671948
2026,-13.6420152173556,0.490465955670713,-11.6248965331184,0.490465955675926,-12.5981721740763,0.490465955672482
2027,-13.7784353695292,0.490465955670877,-11.5086475677872,0.490465955677511,-12.5981721740763,0.490465955673015
2028,-13.9162197232245,0.490465955671019,-11.3935610921093,0.490465955679289,-12.5981721740763,0.490465955673548
2029,-14.0553819204567,0.490465955671143,-11.2796254811882,0.490465955681281,-12.5981721740763,0.490465955674081
2030,-14.1959357396613,0.490465955671251,-11.1668292263763,0.490465955683512,-12.5981721740763,0.490465955674614
2031,-14.3378950970579,0.490465955671345,-11.0551609341126,0.490465955686006,-12.5981721740763,0.490465955675147
2032,-14.4812740480285,0.490465955671426,-10.9446093247714,0.490465955688792,-12.5981721740763,0.49046595567568
2033,-14.6260867885088,0.490465955671496,-10.8351632315237,0.4904659556919,-12.5981721740763,0.490465955676213
2034,-14.7723476563938,0.490465955671557,-10.7268115992085,0.490465955695364,-12.5981721740763,0.490465955676746
2035,-14.9200711329578,0.490465955671609,-10.6195434832164,0.49046595569922,-12.5981721740763,0.490465955677279
2036,-15.0692718442874,0.490465955671654,-10.5133480483842,0.490465955703508,-12.5981721740763,0.490465955677812
2037,-15.2199645627302,0.490465955671693,-10.4082145679004,0.490465955708271,-12.5981721740763,0.490465955678345
2038,-15.3721642083575,0.490465955671726,-10.3041324222214,0.490465955713557,-12.5981721740763,0.490465955678879
2039,-15.5258858504411,0.490465955671755,-10.2010910979992,0.490465955719416,-12.5981721740763,0.490465955679412
2040,-15.6811447089455,0.490465955671779,-10.0990801870192,0.490465955725905,-12.5981721740763,0.490465955679945
2041,-15.837956156035,0.4904659556718,-9.998089385149,0.490465955733083,-12.5981721740763,0.490465955680478
2042,-15.9963357175953,0.490465955671818,-9.89810849129751,0.490465955741016,-12.5981721740763,0.490465955681011
2043,-16.1562990747713,0.490465955671833,-9.79912740638453,0.490465955749774,-12.5981721740763,0.490465955681544
2044,-16.317862065519,0.490465955671846,-9.70113613232069,0.490465955759434,-12.5981721740763,0.490465955682077
2045,-16.4810406861742,0.490465955671857,-9.60412477099748,0.490465955770079,-12.5981721740763,0.49046595568261
2046,-16.6458510930359,0.490465955671866,-9.50808352328751,0.490465955781796,-12.5981721740763,0.490465955683143
2047,-16.8123096039663,0.490465955671874,-9.41300268805463,0.490465955794682,-12.5981721740763,0.490465955683676
2048,-16.9804327000059,0.490465955671881,-9.31887266117408,0.49046595580884,-12.5981721740763,0.490465955684209
2049,-17.150237027006,0.490465955671886,-9.22568393456234,0.49046595582438,-12.5981721740763,0.490465955684743
2050,-17.3217393972761,0.490465955671891,-9.13342709521672,0.490465955841423,-12.5981721740763,0.490465955685276
